phone ,function ,wrong ,mns ,iremotecontroldisplay ,privileg ,user ,thread ,correct ,applic ,DV
0,0,0,0,0,0,0,0,0,3.736965594,2
0,0,0,0,0,0,0,0,0,0,1
21.60964047,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,4.736965594,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3.514573173,0,3.736965594,1
4.321928095,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,3.514573173,0,0,0,3
0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,3.514573173,0,0,0,1
0,8.64385619,0,0,0,0,14.05829269,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,4.736965594,0,0,0,0,2
0,0,0,0,0,4.736965594,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,4.736965594,0,0,0,0,0,3.736965594,3.736965594,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,7.029146346,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,4.321928095,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3.736965594,0,1
0,0,0,0,0,0,0,0,0,0,1
0,4.321928095,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,3.514573173,0,0,0,2
0,0,0,0,0,0,0,0,3.736965594,0,2
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,7.029146346,0,0,1
0,4.321928095,14.21089678,9.473931188,0,0,0,3.514573173,11.21089678,3.736965594,3
0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,7.473931188,1
0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,3.736965594,1
0,0,0,0,0,0,0,0,0,0,3
8.64385619,0,0,0,0,0,0,0,0,0,1
0,0,4.736965594,14.21089678,0,0,0,0,3.736965594,0,2
0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,7.029146346,0,0,2
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,17.57286586,0,0,0,1
0,0,0,0,0,0,3.514573173,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3.736965594,0,1
4.321928095,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3.514573173,0,0,2
0,0,0,0,0,0,0,0,0,0,3
0,0,0,4.736965594,0,0,0,3.514573173,0,0,2
0,0,0,0,9.473931188,0,0,0,0,0,1
0,0,0,0,4.736965594,0,0,0,0,0,1
0,0,0,0,4.736965594,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,3.514573173,0,0,1
